date,ticker,side,weight,price
2025-02-18,SUI/USDT:USDT,exit_stop,0.011116168238480122,3.0633
2025-02-18,XRP/USDT:USDT,exit_stop,0.0160300353202712,2.5615
2025-02-21,DOGE/USDT:USDT,exit_stop,0.015151856978503029,0.23941
2025-02-22,TON/USDT:USDT,exit_stop,-0.01834805551901539,3.7395
2025-02-24,DOGE/USDT:USDT,entry,0.014153465675909171,0.21037
2025-02-24,SUI/USDT:USDT,entry,0.00986794339599648,2.8294
2025-02-24,TON/USDT:USDT,entry,-0.017875000271579507,3.4096
2025-02-24,XRP/USDT:USDT,entry,0.014896013980620152,2.2769
2025-02-25,TON/USDT:USDT,exit_stop,-0.017875000271579507,3.5467
2025-02-28,STRK/USDT:USDT,exit_stop,-0.010825759335759173,0.2154
2025-02-28,XRP/USDT:USDT,exit_stop,0.014896013980620152,2.1443
2025-03-03,DOGE/USDT:USDT,exit_stop,0.014153465675909171,0.19903
2025-03-03,SUI/USDT:USDT,exit_stop,0.00986794339599648,2.6165
2025-03-03,DOGE/USDT:USDT,entry,0.010459691976488477,0.19903
2025-03-03,STRK/USDT:USDT,entry,-0.009984644405383753,0.1974
2025-03-03,SUI/USDT:USDT,entry,0.009029083274759774,2.6165
2025-03-03,TON/USDT:USDT,entry,-0.014840177215599562,3.0601
2025-03-03,XRP/USDT:USDT,entry,0.007576788273987375,2.386
2025-03-09,DOGE/USDT:USDT,exit_stop,0.010459691976488477,0.16799
2025-03-09,SUI/USDT:USDT,exit_stop,0.009029083274759774,2.2891
2025-03-10,XRP/USDT:USDT,exit_stop,0.007576788273987375,2.0202
2025-03-10,DOGE/USDT:USDT,entry,0.010730291374596636,0.15401
2025-03-10,SUI/USDT:USDT,entry,0.009442279864667658,2.088
2025-03-10,XRP/USDT:USDT,entry,0.007619222577669684,2.0202
2025-03-12,STRK/USDT:USDT,exit_stop,-0.011040670675000494,0.1683
2025-03-12,TON/USDT:USDT,exit_stop,-0.015472179295602202,2.7484
2025-03-17,STRK/USDT:USDT,entry,-0.01020085905361489,0.1812
2025-03-17,TON/USDT:USDT,entry,-0.01040734091647734,3.4501
2025-03-18,DYM/USDT:USDT,exit_stop,-0.00899056581160699,0.4159
2025-03-21,SUI/USDT:USDT,exit_stop,0.009264807933357657,2.2508
2025-03-24,STRK/USDT:USDT,exit_stop,-0.01020085905361489,0.1769
2025-03-24,ADA/USDT:USDT,entry,0.004254867523346522,0.7317
2025-03-24,DOGE/USDT:USDT,exit_signal,0.010210349423464398,0.1829
2025-03-24,DYM/USDT:USDT,entry,-0.007729458123377579,0.3744
2025-03-24,STRK/USDT:USDT,entry,-0.010179301796939145,0.1769
2025-03-24,SUI/USDT:USDT,entry,0.009329329038970963,2.3967
2025-03-27,TON/USDT:USDT,exit_stop,-0.010465058959697848,4.047
2025-03-28,SUI/USDT:USDT,exit_stop,0.009329329038970963,2.5036
